ID_Agencia,Hotel_cve,Agencia_cve,Agencia_nombre,Ciudad_Nombre,Estado_cve,Pais_cod,ID_Entidad_Fed_Agencia,ID_Vendedor
39,AZU,DIPUTADOS,"SINDICATO DE LA CAMARA DE DIPUTADOS                                                                 ","CD. DE MEXICO                                               ","EDF   ","PMX   ",107,0
40,AZU,"EPMVAC   ","DIRECTOS EP - MVAC / AZUL & GRAND                                                                   ","IXTAPA                                                      ","EGR   ","PMX   ",142,0
41,AZU,"EVENTPLA ","EVENT PLANNING CONSULTANCY, A.C.                                                                    ","CD. DE MEXICO                                               ","EDF   ","PMX   ",107,0
42,AZU,"EVOLU    ","EVOLUTION TOUR                                                                                      ","TLAQUEPAQUE                                                 ","EJA   ","PMX   ",173,0
43,AZU,"EXP      ","EXPEDIA GROUP                                                                                       ","MEXICO CITY                                                 ","EMX   ","PMX   ",236,0
44,AZU,"EXYTUR   ","OPERADORA TURISTICA DE URUAPAN SA DE CV                                                             ","URUAPAN                                                     ","EMC   ","PMX   ",206,0
45,AZU,"FAMGUT   ","MARIA GUTIERREZ                                                                                     ","LAZARO CARDENAS                                             ","EMC   ","PMX   ",206,0
46,AZU,"FANDI    ","FANDI SA DE CV                                                                                      ","ACAPULCO                                                    ",AZU,"      ",0,0
47,AZU,"FDILA    ","FEDERACION DENTAL IBERO-LATINOAMERICANA, A.C.                                                       ","ZAPOPAN                                                     ","EJA   ","PMX   ",173,0
48,AZU,"FEMEXFUT ","FEDERACION MEXICANA DE FUTBOL ASOCIACION A.C.                                                       ","TOLUCA                                                      ","EMX   ","PMX   ",236,0
49,AZU,"FERPER   ","FERNANDO PEREZ (GRUPO FER-PER)                                                                      ","FERPER   ","EMX   ","PMX   ",236,0
50,AZU,"FGBMFI   ","FULL GOSPEL BUSINESS MENS FELLOWSHIP INTERNATIONAL                                                  ","IRVINE                                                      ","ECA   ","PUS   ",48,0
51,AZU,"FLYBUY   ","FLY & BUY MVAC                                                                                      ","MEXICO CITY                                                 ","EMX   ","PMX   ",236,0
52,AZU,"FMORA    ","JESUS MORALES (GPO FAM MORALES)                                                                     ","HEROES TECAMAC                                              ","EMX   ","PMX   ",236,0
53,AZU,"FPVBJX   ","GRUPO F.P.V LEON                                                                                    ","LEON                                                        ","EGT   ","PMX   ",145,0
54,AZU,"FPVMLM   ","GRUPO F.P.V. MORELIA                                                                                ","LEON                                                        ","EGT   ","PMX   ",145,0
55,AZU,"FUNJET   ","FUNJET VACATIONS                                                                                    ","ELK GROVE VILLA                                             ","EIL   ","PUS   ",163,0
56,AZU,"G2GO     ","GROUP TO GO, S.A. DE C.V.                                                                           ","CD DE MEXICO                                                ","EDF   ","PMX   ",107,0
57,AZU,"H.AYUN   ","H. AYUNTAMIENTO CONSTITUCIONAL DE ZIHUATANEJO                                                       ","ZIHUATANEJO                                                 ","EGR   ","PMX   ",142,0
58,AZU,"HAZUL    ",HOTELES S.A.,"IXTAPA                                                      ","EGR   ","PMX   ",142,0
59,AZU,"HEALTHY  ","HEALTHY PEOPLE S. DE R.L. DE C.V.                                                                   ","IRAPUATO                                                    ","EGT   ","PMX   ",145,0
60,AZU,HOTELBEDS,"HOTELBEDS                                                                                           ","CANCUN                                                      ","EQR   ","PMX   ",294,0
61,AZU,"HOTELS   ","EXPEDIA - HOTELS.COM                                                                                ","MEXICO CITY                                                 ","EMX   ","PMX   ",236,0
62,AZU,"HYPNO    ","WORLD ASSOCIATION OF ELECTIC HYPNOTHERAPISTS                                                        ","HYPNO    ","ETX   ","PUS   ",346,0
63,AZU,"IDESUM   ","INSTITUTO DE ESTUDIOS SUPERIORES DEL PACIFICO                                                       ","LAZARO CARDENAS                                             ","EMC   ","PMX   ",206,0
64,AZU,"INTERJET ","PRICETRAVEL - INTERJET                                                                              ","CANCUN                                                      ","EQR   ","PMX   ",294,0
65,AZU,"IXTRES   ",HOTELES S.A.,"ZIHUATANEJO                                                 ","EGR   ","PMX   ",142,0
66,AZU,"JAFRA    ","JAFRA COSMETICS, S.A. DE C.V.                                                                       ","ALVARO OBREGON                                              ","EMX   ","PMX   ",236,0
67,AZU,"JANSSEN  ","JANSSEN-CILAG, S.A. DE C.V.                                                                         ","COYOACAN                                                    ","EMX   ","PMX   ",236,0
68,AZU,"JJOPE    ","J&J OPERADORA                                                                                       ","QUERETARO                                                   ","EQE   ","PMX   ",293,0
69,AZU,"LANDIN   ","PROMOCIONES GRAFICAS MEXICANAS, S.A. DE C.V.                                                        ","QUERETARO                                                   ","EQE   ","PMX   ",293,0
70,AZU,"LEISURE  ","LEISURE DIRECTOS - T&T                                                                              ","IXTAPA                                                      ","EGR   ","PMX   ",142,0
71,AZU,"LEISUREC ","LEISURE MINORISTA - T&T                                                                             ","IXTAP                                                       ","EGR   ","PMX   ",142,0
72,AZU,"LIDS     ","LA IGLESIA DEL SEÑOR                                                                                ","DEL. COYOACAN                                               ","EDF   ","PMX   ",107,0
73,AZU,"MAGNI    ","MAGNICHARTERS MEXICO                                                                                ","CIUDAD MEXICO                                               ","EMX   ","PMX   ",236,0
74,AZU,"MAGNIMTY ","MAGNICHARTERS MONTERREY                                                                             ","CIUDAD DE MEXIC                                             ","EMX   ","PMX   ",236,0
75,AZU,"MAPLE    ","MAPLE TOURS OPERATOR - CVA                                                                          ","GUADALAJARA                                                 ","EJA   ","PMX   ",173,0
76,AZU,"METRAV   ","METROPOLI TRAVELS, S.A. DE C.V.                                                                     ","LEON                                                        ","EGT   ","PMX   ",145,0
